Original Sentence,Cleaned Sentence,Predefined Topic,BERTopic Topic,Topic Probability
"MP:	Platíqueme un poco acerca de su niñez, sus papás, sus hermanos, ¿a qué se dedicaban sus papás",mp platíqueme acerca niñez papás hermanos dedicaban papás,Background / Antecedentes,316,0.8622542652496309
"EE:	Mi papá fue carpintero y fuimos seis de familia, pos más o menos bien, más o menos bien",ee papá carpintero seis familia pos menos bien menos bien,Background / Antecedentes,-1,0.0
"MP:	Y, ¿qué le dijo su familia cuando usted le dijo: “Me voy de bracero”",mp dijo familia usted dijo voy bracero,Background / Antecedentes,29,0.32921285853731314
"EE:	Ahí había, había tres hermanos de Saucillo, dos de Juárez y yo",ee ahí tres hermanos saucillo dos juárez,Background / Antecedentes,7,1.0
"MP:	¿Usted se fue solo de su familia, o se fue algún hermano con usted",mp usted solo familia algún hermano usted,Background / Antecedentes,7,0.8715212232474238
"Y por eso estos, estos gringos no son nada buenos, porque cuando en ese tiempo necesitaban, para la pisca de algodón abrían la frontera, entraban familias enteras sin contrato y sin nada",gringos buenos tiempo necesitaban pisca algodón abrían frontera entraban familias enteras contrato,Background / Antecedentes,6,0.7975981424114084
"EH:	Pos nos entendimos muy bien como hermanos, no, nos la llevamos muy bien",eh pos entendimos bien hermanos llevamos bien,Background / Antecedentes,7,1.0
"MP:	Y, ¿usted estando allá se comunicaba más o menos seguido con su familia",mp usted allá comunicaba menos seguido familia,Background / Antecedentes,29,0.47885392175031516
"MP:	Y allá en Durango, cuénteme acerca de su familia cuando usted estaba pequeño",mp allá durango cuénteme acerca familia usted pequeño,Background / Antecedentes,-1,0.0
"AD:	Pues mire, este, fueron cuatro hermanos y unas hermanitas que tuve también pero no las conocí que murieron antes de que yo naciera, ellas murieron",ad pues mire cuatro hermanos unas hermanitas conocí murieron naciera murieron,Background / Antecedentes,7,1.0
Y luego ya empezó a crecer la familia y pos ya menos salí,luego empezó crecer familia pos menos salí,Background / Antecedentes,29,0.6759481538574538
"Mis padres andaban de un rancho a otro, entramos, salimos de las Nieves, Durango aquí al estado de Chihuahua, y aquí en, como quien dice me crié en Parral, Santa Bárbara del Oro",padres andaban rancho entramos salimos nieves durango aquí chihuahua aquí dice crié parral santa bárbara oro,Background / Antecedentes,15,0.37780813332424623
"Y lo dejó, entonces se hicieron compadres, y se fueron a los ranchitos ahí alrededor, a traerse la lana porque ese hombre no perdía",dejó entonces hicieron compadres ranchitos ahí alrededor traerse lana hombre perdía,Background / Antecedentes,65,0.9244866286446174
"Ya vino por su familia, ya están allá, nomás que se cambió de domicilio y no sé ahora a dónde para",vino familia allá nomás cambió domicilio sé ahora dónde,Background / Antecedentes,29,0.431696696295909
"No crea, pos es que la familia así anda, todo descontrolado",crea pos familia así anda descontrolado,Background / Antecedentes,29,1.0
"MP:	Hábleme de su familia, sus hermanos, sus papás, ¿a qué se dedicaban sus papás",mp hábleme familia hermanos papás dedicaban papás,Background / Antecedentes,316,0.6580887855953381
"A propósito de la familia, ¿cada cuándo usted venía a visitarlos, venía a visitar a su familia",propósito familia cada cuándo usted venía visitarlos venía visitar familia,Background / Antecedentes,29,0.4406241143313008
", ¿entonces venía acá a visitar a sus papás, a sus hermanos",entonces venía acá visitar papás hermanos,Background / Antecedentes,7,0.8163091643011628
"MP:	Cuénteme algo acerca de su niñez, sus papás, sus hermanos, ¿qué hacía usted de niño",mp cuénteme acerca niñez papás hermanos hacía usted niño,Background / Antecedentes,316,0.9817330456371204
"Ahí había primaria y me pusieron a mí y a tres hermanos, dos hermanas junto en, entrar al mismo a tercer año, para terminar",ahí primaria pusieron tres hermanos dos hermanas junto entrar mismo tercer año terminar,Background / Antecedentes,7,1.0
", pos eran hermanos de los que fuimos después, uno de ellos y luego le dijeron: “Fíjate que hubo un aumento de tanto en la esta”, dijo, “y ya lo reclamó fulano y ya le vino los centavos",pos hermanos después luego dijeron fíjate aumento dijo reclamó fulano vino centavos,Background / Antecedentes,7,1.0
"AQ:	Pos, yo fui el único de todos mis hermanos que salió pa… Pos, ya nomás salí la primer vez y regresé, pos, ya cuando me jubilé, regresé",aq pos único hermanos salió pa pos nomás salí primer vez regresé pos jubilé regresé,Background / Antecedentes,7,1.0
"MP:	Perdón hábleme acerca un poco de su familia, su papá, sus hermanos, el lugar donde creció",mp perdón hábleme acerca familia papá hermanos lugar creció,Background / Antecedentes,316,0.6777682500268497
"Y ya murió toda la familia ya, de toda la familia, ya nomás yo quedo",murió toda familia toda familia nomás quedo,Background / Antecedentes,29,0.41816445247544876
"MP:	Quisiera saber algo de su niñez cuénteme, ¿cómo fue su niñez, sus papás, sus hermanos",mp quisiera saber niñez cuénteme cómo niñez papás hermanos,Background / Antecedentes,316,0.8703892320604242
"EG:	No, pos yo fui huérfano de unos siete años, ni mamá ni papá tuve, hermanos sí",eg pos huérfano siete años mamá papá hermanos,Background / Antecedentes,-1,0.0
"MP:	Y, ¿usted nunca pensó en llevarse a su familia para allá",mp usted nunca pensó llevarse familia allá,Background / Antecedentes,-1,0.0
"Yo vine, me vine yo de, me vine del otro lado y vine y renté un cuarto aquí en Cuauhtémoc y me traje a mi familia para acá",vine vine vine lado vine renté cuarto aquí cuauhtémoc traje familia acá,Background / Antecedentes,29,0.5868421497599249
"MP:	Y allá en Durango, cuénteme acerca de su familia cuando usted estaba pequeño",mp allá durango cuénteme acerca familia usted pequeño,Background / Antecedentes,-1,0.0
"AD:	Pues mire, este, fueron cuatro hermanos y unas hermanitas que tuve también pero no las conocí que murieron antes de que yo naciera, ellas murieron",ad pues mire cuatro hermanos unas hermanitas conocí murieron naciera murieron,Background / Antecedentes,7,1.0
Y luego ya empezó a crecer la familia y pos ya menos salí,luego empezó crecer familia pos menos salí,Background / Antecedentes,29,0.7656695447912477
"Mis padres andaban de un rancho a otro, entramos, salimos de las Nieves, Durango aquí al estado de Chihuahua, y aquí en, como quien dice me crié en Parral, Santa Bárbara del Oro",padres andaban rancho entramos salimos nieves durango aquí chihuahua aquí dice crié parral santa bárbara oro,Background / Antecedentes,15,0.2434618394164264
"Y lo dejó, entonces se hicieron compadres, y se fueron a los ranchitos ahí alrededor, a traerse la lana porque ese hombre no perdía",dejó entonces hicieron compadres ranchitos ahí alrededor traerse lana hombre perdía,Background / Antecedentes,65,0.887529234865998
"Ya vino por su familia, ya están allá, nomás que se cambió de domicilio y no sé ahora a dónde para",vino familia allá nomás cambió domicilio sé ahora dónde,Background / Antecedentes,29,0.3837046126806421
"No crea, pos es que la familia así anda, todo descontrolado",crea pos familia así anda descontrolado,Background / Antecedentes,29,0.9377490762602685
"FG:	Pues fui a la escuela muy poco y pues, tengo algunos hermanos y mi papá y mi mamá sí ya fallecieron, y varios de los hermanos también",fg pues escuela pues hermanos papá mamá fallecieron varios hermanos,Background / Antecedentes,7,0.5904079944914861
"MP:	Y, ¿se fue solo o alguno de sus hermanos fue o algún amigo",mp solo alguno hermanos algún amigo,Background / Antecedentes,7,0.9066934835232887
