Original Sentence,Cleaned Sentence,BERTopic Topic,Topic Probability,Predefined Topic
"MP:	Más o menos en el tiempo que anduvo usted, anduvieron también los del, el racismo muy fuerte, ¿no",mp menos tiempo anduvo usted anduvieron racismo fuerte,403,0.9354979646274011,Challenges and Discrimination
"MP:	Oiga, y platíqueme, ¿ustedes no tuvieron algún problema de racismo, algo ahí en los pueblos donde estaban los ranchos o algo",mp oiga platíqueme ustedes algún problema racismo ahí pueblos ranchos,403,1.0,Challenges and Discrimination
"MP:	Y ahí, ¿usted no se dio cuenta de que los negros tuvieran problemas con los blancos por racismo o algo así",mp ahí usted dio cuenta negros problemas blancos racismo así,403,1.0,Challenges and Discrimination
"MP:	Y usted nunca se dio cuenta de algún incidente que tuvieran por, no sé, ya ve que en ese tiempo andaba mucho el racismo en contra de los negros y también en contra de los mexicanos",mp usted nunca dio cuenta algún incidente sé tiempo andaba racismo negros mexicanos,19,0.710638186237664,Challenges and Discrimination
"MP:	En cuanto a que se sentían mal o algo, durante todo ese tiempo, hubo mucho racismo en contra de los mexicanos y de los negros, ¿no",mp cuanto sentían mal tiempo racismo mexicanos negros,19,0.7011663862800804,Challenges and Discrimination
"He would prod ‘em, because most of them would not want to complain, understandably, because they anticipated coming back next year, and they got used to the idea that certain exploitation, certain abuse was expected, it was part of being a bracero, so they tolerated it",would prod em would want complain understandably anticipated coming back next year got used idea certain exploitation certain abuse expected part bracero tolerated,-1,0.0,Challenges and Discrimination
"And the en masse interviews by the Mexican Consul was the same, because the Mexican Consul would speak to them before they left, keep track of all the injustices that you received, the exploitation, because we need to know, and the only way that we’re gonna correct that is by getting information from your people",masse interviews mexican consul mexican consul would speak left keep track injustices received exploitation need know way gonna correct getting information people,72,0.8197098861146135,Challenges and Discrimination
"Pecos, at that time, they still practice a lot of discrimination",pecos time still practice lot discrimination,-1,0.0,Challenges and Discrimination
BM:	Did you have any complaints about discrimination against the braceros by any of the local farmers,bm complaints discrimination braceros local farmers,1,1.0,Challenges and Discrimination
Es que el racismo me di cuenta yo que muchas veces uno lo provoca,racismo di cuenta muchas veces provoca,403,1.0,Challenges and Discrimination
"Oiga, señor Liborio y en Texas, bueno, también en California, en los otros lugares donde estuvo, ¿alguna vez tuvo un problema de discriminación, de racismo que los trataran mal",oiga señor liborio texas bueno california lugares alguna vez problema discriminación racismo trataran mal,17,0.3267453470925332,Challenges and Discrimination
"MS:	No, no los mismos, no en los pueblos, aquí mismo en la Eureka, ahí mismo era un pueblito, había, había ese racismo",ms mismos pueblos aquí mismo eureka ahí mismo pueblito racismo,-1,0.0,Challenges and Discrimination
"Sí, porque inclusive el, el máster, o sea el superior al mayordomo, nos iba a platicar y nos decía y nos decía cosas, pero en una forma amigable, tratable, no, no había de, despotismo o racismo o algo, no",inclusive máster superior mayordomo iba platicar decía decía cosas forma amigable tratable despotismo racismo,-1,0.0,Challenges and Discrimination
"MS:	Eso, eso del racismo, principalmente, el racismo, porque pues aquí no, no creo que haya habido la forma de vida de allá, porque aquí ayudábamos a todos los que son, con lo que, con lo que sean",ms racismo principalmente racismo pues aquí creo forma vida allá aquí ayudábamos,403,1.0,Challenges and Discrimination
VD:	¿Nunca tuvo problemas de discriminación o de racismo por allá,vd nunca problemas discriminación racismo allá,157,0.26866923260766035,Challenges and Discrimination
"VD:	Y en los lugares a los que usted decía, así como los restaurantes o las cantinas o las tiendas donde compraban su comida, ¿alguna vez tuvo algún problema como de rechazo, como de racismo de que no lo dejaran entrar",vd lugares usted decía así restaurantes cantinas tiendas compraban comida alguna vez algún problema rechazo racismo dejaran entrar,157,0.3326824851871888,Challenges and Discrimination
", pero, no los vi con…  VD:	¿Usted nunca tuvo algún incidente de discriminación, de racismo, señor Perfecto, por allá, en los momentos en los que convivía con otros norteamericanos o con, por ejemplo en los restaurantes o en las cantinas",vi vd usted nunca algún incidente discriminación racismo señor perfecto allá momentos convivía norteamericanos ejemplo restaurantes cantinas,-1,0.0,Challenges and Discrimination
LM:	¿Alguna vez sintió usted un acto de racismo,lm alguna vez sintió usted acto racismo,403,1.0,Challenges and Discrimination
TE:  Audio difficulties at the thirty-five minute mark rendered the transcript incomplete,audio difficulties thirtyfive minute mark rendered transcript incomplete,168,0.26468128377875894,Challenges and Discrimination
