Original Sentence,Cleaned Sentence,Predefined Topic,BERTopic Topic,Topic Probability
"MP:	Y la gente, esta gente que no piscaba tan rápido como los demás, ¿ellos no tenían problemas con el ranchero, porque no sacaban rápido el trabajo",mp gente gente piscaba tan rápido demás problemas ranchero sacaban rápido trabajo,Challenges and Discrimination / Discriminación y dificultades,0,0.8555813066619872
"EE:	(risas) Hay ta con los problemas de los carros chuecos, ¿pa qué los dejan pasar",ee risas ta problemas carros chuecos pa dejan pasar,Challenges and Discrimination / Discriminación y dificultades,79,1.0
"(risas)  MP:	Y esos descarriados, ¿no les daban problemas después a ustedes",risas mp descarriados daban problemas después ustedes,Challenges and Discrimination / Discriminación y dificultades,11,1.0
"EE:	Sí, no, no había problemas porque no perseguían mucho al mojado en aquel tiempo",ee problemas perseguían mojado aquel tiempo,Challenges and Discrimination / Discriminación y dificultades,-1,0.0
MP:	¿Nunca tuvieron problemas con La Migra allá andando en Montana,mp nunca problemas migra allá andando montana,Challenges and Discrimination / Discriminación y dificultades,147,0.9304134043552494
"EH:	Nosotros no tuvimos problema con ellos, pero me di cuenta yo que algunos sí tuvieron problemas con los patrones",eh problema di cuenta problemas patrones,Challenges and Discrimination / Discriminación y dificultades,13,1.0
"No le digo, me daba cuenta de que alguna gente tenían problemas por el pago, que no les pagaba bien el patrón, pero fueron pláticas nomás de gente así que… Pero nosotros, yo nunca tuve problemas con los patrones",digo daba cuenta alguna gente problemas pago pagaba bien patrón pláticas nomás gente así nunca problemas patrones,Challenges and Discrimination / Discriminación y dificultades,-1,0.0
"EH:	Pues no, quién sabe pos, como le digo, pos nosotros nunca tuvimos problemas, yo con los compañeros que pasé yo nunca, ninguno tuvo problemas con el patrón",eh pues quién sabe pos digo pos nunca problemas compañeros pasé nunca ninguno problemas patrón,Challenges and Discrimination / Discriminación y dificultades,13,1.0
"No sé cómo le harían los que tuvieron problemas, porque sí me di cuenta yo que, de algunos tuvieron problemas con los patrones, pero quién sabe cómo le harían",sé cómo harían problemas di cuenta problemas patrones quién sabe cómo harían,Challenges and Discrimination / Discriminación y dificultades,-1,0.0
"Nos trataron muy bien a nosotros los patrones allá, pero pos algunas gentes sí se quejan, sí se quejaban de los patrones, pero a nosotros nos tocaron buenos patrones, no tuvimos problemas con ellos",trataron bien patrones allá pos gentes quejan quejaban patrones tocaron buenos patrones problemas,Challenges and Discrimination / Discriminación y dificultades,-1,0.0
"Le digo El Sargento, porque una vez estaban ahí y creían que no estaba yo y andaban ahí luchando él y otro hermano",digo sargento vez ahí creían andaban ahí luchando hermano,Challenges and Discrimination / Discriminación y dificultades,7,1.0
