Original Sentence,Cleaned Sentence,BERTopic Topic,Topic Probability,Predefined Topic
"FM:	No, no, no, seguía el, seguido el…  MP:	Y cuando se iban a trabajar ahí a la labor, ¿les daban que llevaran lonche o tenían que regresar para comer acá al comedor",fm seguía seguido mp iban trabajar ahí labor daban llevaran lonche regresar comer acá comedor,-1,0.0,Labor Experiences
"Por seis meses, fue contrato de seis meses, pues fue el tiempo de la Revolución, los hombres de aquí íbamos a la labor, al ferrocarril, a la fábrica y creo yo que hicimos mucho bien a Estados Unidos",seis meses contrato seis meses pues tiempo revolución hombres aquí íbamos labor ferrocarril fábrica creo hicimos bien unidos,298,0.5705155729584216,Labor Experiences
"Y pobrecitos, comen papa, papa, almuerzan papa, y llevan papa a la labor, papa cocida, en la tarde vienen y fríen papas y son muy ahorrativos",pobrecitos comen papa papa almuerzan papa llevan papa labor papa cocida tarde vienen fríen papas ahorrativos,3,0.8806325584858864,Labor Experiences
"Digo, iban al ferrocarril, a las fábricas, a la labor y desde luego ahí, cuando le digo que estábamos en El Paso, Texas, el día del ex-bracero",digo iban ferrocarril fábricas labor luego ahí digo paso texas día exbracero,17,0.32081299427090987,Labor Experiences
"AD:	No, me dio mucho gusto porque yo vi la labor, bastante labor, bastante algodón, bastante trabajo y éramos la cantidad de braceros ahí como unos ochenta",ad dio gusto vi labor bastante labor bastante algodón bastante trabajo cantidad braceros ahí ochenta,-1,0.0,Labor Experiences
"AD:	No, me dio mucho gusto porque yo vi la labor, bastante labor, bastante algodón, bastante trabajo y éramos la cantidad de braceros ahí como unos ochenta",ad dio gusto vi labor bastante labor bastante algodón bastante trabajo cantidad braceros ahí ochenta,7,0.6939544681524034,Labor Experiences
EH:	Pos ya como de unos siete años empecé a trabajar en la labor,eh pos siete años empecé trabajar labor,115,0.8650427048708296,Labor Experiences
", llegaba…  EH:	Sí, pues estaba cerquitas ahí la labor",llegaba eh pues cerquitas ahí labor,0,1.0,Labor Experiences
"No sé, que tuvo problemas con el patrón, que ahí en la labor de que… No sé, de que se peleaba con el patrón o de que tuvieron algún accidente o algo",sé problemas patrón ahí labor sé peleaba patrón algún accidente,9,1.0,Labor Experiences
"MP:	¿Qué hacían para distraerse un rato del pueblo, el tiempo que pasaban ahí en la labor",mp hacían distraerse rato pueblo tiempo pasaban ahí labor,-1,0.0,Labor Experiences
"MP:	Porque tenía la curiosidad si era diferente cuando iban a trabajar a la labor, en el campo, o cuando iban a trabajar por ejemplo en el ferrocarril",mp curiosidad si diferente iban trabajar labor campo iban trabajar ejemplo ferrocarril,14,1.0,Labor Experiences
"GM:	De todo, de todo, yo me encargaba todas las bombas, había como ocho bombas para los riegos de las labores, y yo nomás llevaba al regador, ahí le echaba a andar la bomba y ahí se quedaba él",gm encargaba todas bombas ocho bombas riegos labores nomás llevaba regador ahí echaba andar bomba ahí quedaba,-1,0.0,Labor Experiences
50 centavos en la labor por hora y el tractor a $1,50 centavos labor hora tractor 1,-1,0.0,Labor Experiences
"GM:	Era labor, ahí cortábamos y todo iba a dar arriba de los camiones",gm labor ahí cortábamos iba dar arriba camiones,29,0.5309766914432323,Labor Experiences
"MP:	Y, de todos los que anduvo, en todas las labores que anduvo haciendo, ¿cuál fue la más difícil, la que se le hizo más pesada",mp anduvo todas labores anduvo haciendo cuál difícil hizo pesada,0,1.0,Labor Experiences
"JR:	A jornalero en la labor se trabajaba más antes, no había más, más que la pura labor",jr jornalero labor trabajaba pura labor,0,0.9886977011567216,Labor Experiences
"MP:	Y, ¿usted fue a la escuela o siempre le ayudó a su papá en la labor",mp usted escuela siempre ayudó papá labor,240,0.9619053001384538,Labor Experiences
"Aquí se ganaba que $5, $10 pesos, $8, en la labor bien trabajado todo el día",aquí ganaba 5 10 pesos 8 labor bien trabajado día,2,1.0,Labor Experiences
"Allá agarra trabajo en los restauranes, lava platos, algo pero en la labor ya, ya no hay",allá agarra trabajo restauranes lava platos labor,0,1.0,Labor Experiences
"MM:	Ayudarle a mi jefe, ayudarle a mi jefe en la labor",mm ayudarle jefe ayudarle jefe labor,98,1.0,Labor Experiences
"MM:	Pos no, pos como uno está impuesto a trabajos rústicos, así de que pos, pos así en la labor nomás, eso era lo único, de allá de animales",mm pos pos impuesto trabajos rústicos así pos pos así labor nomás único allá animales,86,0.5671632408341825,Labor Experiences
"Pos era lo único que podía yo hacer, trabajar en la labor, regar, puros trabajos de esos rústicos",pos único podía hacer trabajar labor regar puros trabajos rústicos,0,1.0,Labor Experiences
Pos que Dios la bendiga y le llene de bendiciones y que siga adelante con esta noble labor que usté esta haciendo para con nosotros,pos dios bendiga llene bendiciones siga adelante noble labor usté haciendo,55,1.0,Labor Experiences
