Original Sentence,Cleaned Sentence,Predefined Topic,BERTopic Topic,Topic Probability
"En el desahije de betabel, en la pisca de algodón, muy duro pa trabajar",desahije betabel pisca algodón duro pa trabajar,Labor Experiences / Experiencias laborales,6,0.8250321840811637
"MP:	O sea que ustedes ya tenían buena fama…  EE:	Sí, porque aquí había hombres que piscaban hasta setecientas libras de algodón",mp ustedes buena fama ee aquí hombres piscaban setecientas libras algodón,Labor Experiences / Experiencias laborales,6,0.4690685178226356
"Al betabel nos llevaron a Montana, a Colorado nos llevaron al pepino",betabel llevaron montana colorado llevaron pepino,Labor Experiences / Experiencias laborales,147,0.7877917038689393
"No, no, a mí me puso el número, número diecisiete, porque ése fui cuando fui a pesar el primer saco de algodón, me decía: “Seventeen”",puso número número diecisiete ése pesar primer saco algodón decía seventeen,Labor Experiences / Experiencias laborales,6,0.4908040267057126
"Y pos el desahije de betabel es muy duro, no cualesquiera aguanta",pos desahije betabel duro cualesquiera aguanta,Labor Experiences / Experiencias laborales,-1,0.0
"MP:	Permítame (entrevista interrumpida)  MP:	Sí, me decía que le convenía mejor trabajar en el algodón, ¿verdad",mp permítame entrevista interrumpida mp decía convenía mejor trabajar algodón verdad,Labor Experiences / Experiencias laborales,6,0.8238087693196486
"Y trabajábamos trece horas, porque salíamos del rancho oscuro y veníamos de la sierra oscuro",trabajábamos trece horas salíamos rancho oscuro veníamos sierra oscuro,Labor Experiences / Experiencias laborales,190,0.4118252276655014
"EE:	Sí, lo demás no, no, en la pisca de algodón pos para piscar quinientas libras es una montaña de algodón que debe piscar uno, es mucho algodón para $10 dólares",ee demás pisca algodón pos piscar quinientas libras montaña algodón debe piscar algodón 10 dólares,Labor Experiences / Experiencias laborales,6,0.4834468446737964
Y ahora el desahije de betabel pos es muy duro y como quiera también nos pagaban muy poquito,ahora desahije betabel pos duro quiera pagaban poquito,Labor Experiences / Experiencias laborales,1,0.7525537141383448
"Y esa gente que viene del sur, algunos no saben piscar cuando vienen al algodón",gente viene sur saben piscar vienen algodón,Labor Experiences / Experiencias laborales,6,0.3875754266736985
"Y pobrecitos, comen papa, papa, almuerzan papa, y llevan papa a la labor, papa cocida, en la tarde vienen y fríen papas y son muy ahorrativos",pobrecitos comen papa papa almuerzan papa llevan papa labor papa cocida tarde vienen fríen papas ahorrativos,Labor Experiences / Experiencias laborales,-1,0.0
"Un primo mío, trabajó con mi seguro social cinco años",primo trabajó seguro social cinco años,Labor Experiences / Experiencias laborales,185,0.6207451392028024
"Luego, acabando la pisca de algodón, a barbechar y a mí me dieron chanza de tractorista, sin saber y me encantaba a mí, uy, yo hacía un trabajo pero…Entonces, pos muy, muy bien",luego acabando pisca algodón barbechar dieron chanza tractorista saber encantaba uy hacía trabajo peroentonces pos bien,Labor Experiences / Experiencias laborales,-1,0.0
"No, ya para terminar, platíqueme ese detalle de que contrataron japoneses como braceros, ¿usted trabajó algún tiempo con alguno de ellos o tuvo algún trato",terminar platíqueme detalle contrataron japoneses braceros usted trabajó algún tiempo alguno algún trato,Labor Experiences / Experiencias laborales,100,0.3091209850881493
"Digo, iban al ferrocarril, a las fábricas, a la labor y desde luego ahí, cuando le digo que estábamos en El Paso, Texas, el día del ex-bracero",digo iban ferrocarril fábricas labor luego ahí digo paso texas día exbracero,Labor Experiences / Experiencias laborales,16,0.3463495084857787
EH:	Pos ya como de unos siete años empecé a trabajar en la labor,eh pos siete años empecé trabajar labor,Labor Experiences / Experiencias laborales,214,0.5970630398897545
"Y de Utah nos volvieron a mandar otra vez a Montana al tapeo, a cuando sacan ya el betabel para limpiarlo",utah volvieron mandar vez montana tapeo sacan betabel limpiarlo,Labor Experiences / Experiencias laborales,147,0.9528243873729169
"MP:	¿Entonces Nuevo México, Deming, Arizona y Texas en el algodón",mp entonces nuevo méxico deming arizona texas algodón,Labor Experiences / Experiencias laborales,170,0.15892920782057365
"EH:	Sí, en una de las ocasiones que, jue cuando, que nos llevaban a Montana, siete horas porque paró en este, en Utah, en Salt Lake",eh ocasiones jue llevaban montana siete horas paró utah salt lake,Labor Experiences / Experiencias laborales,147,0.735110160766918
", llegaba…  EH:	Sí, pues estaba cerquitas ahí la labor",llegaba eh pues cerquitas ahí labor,Labor Experiences / Experiencias laborales,-1,0.0
Ahí cuando luego luego empezamos con el desahije del betabel,ahí luego luego empezamos desahije betabel,Labor Experiences / Experiencias laborales,71,1.0
"MP:	Y luego dice que estaba en Wyoming, que los campos estaban cerca, ¿no",mp luego dice wyoming campos cerca,Labor Experiences / Experiencias laborales,92,0.6810794493046837
"EH: 	Pos estuve trabajando en el algodón, ahí en Texas y luego en Nuevo México en el algodón y allá en Arizona también, en el algodón",eh pos trabajando algodón ahí texas luego nuevo méxico algodón allá arizona algodón,Labor Experiences / Experiencias laborales,170,0.1270355711278626
"EH:	Pos en la pisca de algodón, me tocó ahí",eh pos pisca algodón tocó ahí,Labor Experiences / Experiencias laborales,6,0.8751041568486453
