Original Sentence,Cleaned Sentence,BERTopic Topic,Topic Probability,Predefined Topic
"(interviewer laughs) They’d say, “Wow, we’re paying too much for our food,” and sometimes they would go back and tell the farmer, “You’ve been charging us too much,” those that had a little more nerve",interviewer laughs theyd say wow paying much food sometimes would go back tell farmer youve charging us much little nerve,1,0.3065221431822693,Living Conditions
"RC:	And these people that made the food for ‘em, did they set up kitchens at Rio Vista",rc people made food em set kitchens rio vista,-1,0.0,Living Conditions
"The mess hall had a large kitchen, you can imagine, it was large enough to prepare food for fifteen, sixteen hundred braceros",mess hall large kitchen imagine large enough prepare food fifteen sixteen hundred braceros,109,0.3293455108624975,Living Conditions
"They must have processed them early in the morning, because when we got there at 7:30 or about that time, it was a little while after that when they would start asking them to come into this large room",must processed early morning got 730 time little would start asking come large room,-1,0.0,Living Conditions
"FC:	The other different rooms, do you remember what—(both talking at once)  CB:	Some were the showers, some were, like I said, the barbershop, and others were where they were photographed",fc different rooms remember whatboth talking cb showers like said barbershop others photographed,-1,0.0,Living Conditions
"I don’t recall—at some point they must have been fed meals, but that must have been in another area",dont recallat point must fed meals must another area,-1,0.0,Living Conditions
"We would do it in shifts, and we would eat in a little room",would shifts would eat little room,-1,0.0,Living Conditions
Four or five of us—  FC:	You never shared a meal with the braceros,four five us fc never shared meal braceros,-1,0.0,Living Conditions
"DH:	Oh, yes, we had to furnish housing for ‘em with utilities and running water",dh oh yes furnish housing em utilities running water,47,0.4427077436883204,Living Conditions
"DH:	I had to pick them up at Rio Vista, and bring them to the farm, and get them settled down in their living quarters, and they were there until they left",dh pick rio vista bring farm get settled living quarters left,61,0.8515094745874286,Living Conditions
"DH:	Yes, because they had housing there, and they had facilities to feed them a light lunch, and water available, restrooms available",dh yes housing facilities feed light lunch water available restrooms available,-1,0.0,Living Conditions
"I’m not sure, but—  BM:	You were required to provide the braceros with housing and electricity and running water",im sure bm required provide braceros housing electricity running water,-1,0.0,Living Conditions
BM:	Did you have to provide the braceros with food also or did they buy their own,bm provide braceros food also buy,291,1.0,Living Conditions
"Basically, the foods that their culture was accustomed to, and all those ingredients were available here",basically foods culture accustomed ingredients available,53,0.6293744225079911,Living Conditions
DH:	I don’t remember that I ever had to take anybody to the emergency room or anything like that,dh dont remember ever take anybody emergency room anything like,-1,0.0,Living Conditions
DH:	We had housing inspection to see if we passed the requirements and everything,dh housing inspection see passed requirements everything,389,1.0,Living Conditions
BM:	Did they ever complain to you about their living conditions or wages or anything,bm ever complain living conditions wages anything,361,0.284434620698334,Living Conditions
"We finally wound up living right behind the store, a very nice place",finally wound living right behind store nice place,45,1.0,Living Conditions
It was three-quarters of a mile from Highway 80 to the front of the store,threequarters mile highway 80 front store,-1,0.0,Living Conditions
"Of course, you didn’t have first class accommodations, you had second and then you had third",course didnt first class accommodations second third,-1,0.0,Living Conditions
"There were no dining facilities so you bought food at every stop, and there were a lot of stops",dining facilities bought food every stop lot stops,-1,0.0,Living Conditions
Nobody gave any thought to sanitary facilities or food inspectors,nobody gave thought sanitary facilities food inspectors,-1,0.0,Living Conditions
There would be maybe two or three grades in the same room,would maybe two three grades room,-1,0.0,Living Conditions
"He would talk to dad, and dad would say, “Okay, you guys make a quadrilla, the four of you guys are gonna live in one room",would talk dad dad would say okay guys make quadrilla four guys gonna live one room,3,1.0,Living Conditions
"Each room was about ten by fourteen [feet], something like that; it had one door and one window",room ten fourteen feet something like one door one window,-1,0.0,Living Conditions
"And in the middle of the room were one table and four chairs, then there were four army cots with the springs—  RB:	The old style",middle room one table four chairs four army cots springs rb old style,88,0.9182444272077757,Living Conditions
"There would be four men to a room, and that’s what they would have",would four men room thats would,158,0.8867101119998502,Living Conditions
"They cooked their own food, except that there would be some of the people who lived on the place, whose wives’ and children lived there",cooked food except would people lived place whose wives children lived,-1,0.0,Living Conditions
"They would have what they would call casas de borde, this would be a person that you would sign up with, and you would be given hot meals",would would call casas borde would person would sign would given hot meals,-1,0.0,Living Conditions
"They would make you three meals a day, they would make you morning breakfast, and give you a lunch, so you could take it with you in a paper bag, and then at night they would have the cena",would make three meals day would make morning breakfast give lunch could take paper bag night would cena,328,0.9988069766210705,Living Conditions
"The ficha was a brass disk with a number on it in black enamel that was their open credit, they could buy food at the commissary against future earnings",ficha brass disk number black enamel open credit could buy food commissary future earnings,-1,0.0,Living Conditions
"There was no refrigeration so the food spoiled, you ate it, I mean, you cooked it, and you ate it, because it would spoil",refrigeration food spoiled ate mean cooked ate would spoil,53,0.5116774007607959,Living Conditions
"EB:	A lot of them, since there was no more housing available, the cuadra was completely full up, they would come in, by that time, a lot of them were quartered in Caseta",eb lot since housing available cuadra completely full would come time lot quartered caseta,56,0.636475039567826,Living Conditions
"So all that I learned from living in Mexico as a child and working with my dad behind the counter with the braceros, I put to use later on in my career, because I was able to function very well with these Mexican workers",learned living mexico child working dad behind counter braceros put use later career able function well mexican workers,-1,0.0,Living Conditions
"But, you understand, every time the guy shows up and knocks on the emergency room for the doctor there, it’s gonna cost money, it’s all going to accumulate, and next year the premiums go up",understand every time guy shows knocks emergency room doctor gonna cost money going accumulate next year premiums go,214,0.90878559845544,Living Conditions
"FC:	So the braceros were able to leave the facilities of the ranches they were working—  FG:	To go to the store, to go do their buying—  FC:	Would you happen to remember mostly what they wanted to eat or what was their favorite foods",fc braceros able leave facilities ranches working fg go store go buying fc would happen remember mostly wanted eat favorite foods,1,0.5053809794640606,Living Conditions
"FG:	It’s amazing, because most of them would be living in barracks, and they’d seem like one of them would end up being the cook, and most of those men would kind of let him do the buying, and he knew exactly what he wanted to do and what they were going to fix for meals",fg amazing would living barracks theyd seem like one would end cook men would kind let buying knew exactly wanted going fix meals,-1,0.0,Living Conditions
"FC:	You said the process lasted almost a day, so were there any meals provided to the braceros",fc said process lasted almost day meals provided braceros,-1,0.0,Living Conditions
"You mentioned wages, living conditions as well, were there any minimum requirements, like for the living conditions",mentioned wages living conditions well minimum requirements like living conditions,361,0.5536053946999631,Living Conditions
"FC:	And what about it they hadn’t kept up with the braceros or person living in the community in order to, you know, to find out if they working",fc hadnt kept braceros person living community order know find working,-1,0.0,Living Conditions
"They would talk to them, they would check their housing and their living conditions, they would physically go and check",would talk would check housing living conditions would physically go check,389,1.0,Living Conditions
"FC:	And besides checking their working and living conditions, were the inspectors of the U",fc besides checking working living conditions inspectors u,389,1.0,Living Conditions
"FG:	I just recall a long room, barrack type, a lot of desks, and men standing right in front of you, lines of men standing while you’re processing",fg recall long room barrack type lot desks men standing right front lines men standing youre processing,-1,0.0,Living Conditions
BM:	Did you have to keep track of what kind of housing the braceros were put in,bm keep track kind housing braceros put,321,0.024838081423950463,Living Conditions
"There wasn’t high-class housing, but it was adequate, clean places to live",wasnt highclass housing adequate clean places live,-1,0.0,Living Conditions
What was the Cooperative Extension Service’s responsibility for ensuring that that housing was adequate,cooperative extension services responsibility ensuring housing adequate,476,0.9328906114454479,Living Conditions
"All the farmers were required to provide housing for the braceros, and they had to be, you know, there were requirements, I mean, it had to have a roof and four door, believe or not, some people didn’t, they don’t always provide that kind of housing",farmers required provide housing braceros know requirements mean roof four door believe people didnt dont always provide kind housing,-1,0.0,Living Conditions
