Original Sentence,Cleaned Sentence,Predefined Topic,BERTopic Topic,Topic Probability
"EE:	Bueno de la comida, se va a reír usted porque tengo un compañero que no sabía, ya hablo, yo conozco el inglés, la comida",ee bueno comida va reír usted compañero sabía hablo conozco inglés comida,Living Conditions / Condiciones de vida,11,1.0
"Ahí nos daban la comida hasta que nos tocaba que nos, que hasta que acabalara, acabalaran viaje para allá para dentro, bueno, yo creo que ahí, porque a mí me tocó como unas dos veces ahí en Texas",ahí daban comida tocaba acabalara acabalaran viaje allá dentro bueno creo ahí tocó unas dos veces ahí texas,Living Conditions / Condiciones de vida,16,0.624743283931739
"EH:	Sí, teníamos que comprar la comida, pero con unos $8 dólares la hacíamos en la semana, cada uno $8 dólares, comíamos bien con $8 dólares",eh comprar comida 8 dólares hacíamos semana cada 8 dólares comíamos bien 8 dólares,Living Conditions / Condiciones de vida,-1,0.0
"MP:	A ustedes nunca les, cuando iban a comprar su comida, nunca les dijeron: “No ya no tenemos, les están  ra[cionando]”",mp ustedes nunca iban comprar comida nunca dijeron racionando,Living Conditions / Condiciones de vida,3,1.0
"Lo hacen fila y ahí están las personas sirviéndole comida, ey",hacen fila ahí personas sirviéndole comida ey,Living Conditions / Condiciones de vida,3,1.0
"AD:	Pues mire, este, en un plato va una comida, en otra va otra, en otro va otra",ad pues mire plato va comida va va,Living Conditions / Condiciones de vida,3,1.0
"Y me dijo: “Pos, ya que nos juntamos aquí, mire, vamos a acoplarnos para hacer comida, para irnos a trabajar, y pa todo”",dijo pos juntamos aquí mire vamos acoplarnos hacer comida irnos trabajar pa,Living Conditions / Condiciones de vida,3,1.0
"Y luego pos para comer, pos yo y el viejito íbamos a Pecos y comprábanos provisiones y entre los dos comí[amos] hacíanos comida, no, muy bien",luego pos comer pos viejito íbamos pecos comprábanos provisiones dos comíamos hacíanos comida bien,Living Conditions / Condiciones de vida,3,1.0
"MP:	Y cuando iban ahí a Pecos a comprar su comida, ¿no aprovechaban, no sé, para ir tomarse una cerveza, al cine o algo, algo de distracciones",mp iban ahí pecos comprar comida aprovechaban sé ir tomarse cerveza cine distracciones,Living Conditions / Condiciones de vida,-1,0.0
"Y salió y yo me metí así por los cuartos y lo hallo tirado, era un hombrote grandote, gordo, bocabajo, echando sangre",salió metí así cuartos hallo tirado hombrote grandote gordo bocabajo echando sangre,Living Conditions / Condiciones de vida,85,0.8303908205908742
"Y en las otras partes estábanos dos, tres nomás en cada cuarto del ranchito",partes estábanos dos tres nomás cada cuarto ranchito,Living Conditions / Condiciones de vida,32,0.25428375002162373
"Ahí deste, pos si no quería uno hacer cola pa comer, pos deste, ahí uno le hacía comida",ahí deste pos si quería hacer cola pa comer pos deste ahí hacía comida,Living Conditions / Condiciones de vida,3,0.897467795117349
"Así a hacer la reunión, deste, hacer este comida sí, tomábanos un refresco, una cerveza pero, así pa pasar el tiempo",así hacer reunión deste hacer comida tomábanos refresco cerveza así pa pasar tiempo,Living Conditions / Condiciones de vida,62,0.06296070640101467
"En los domingos era cuando nos íbamos un rato al pueblo y ya después ya veníanos, ya nos estabanos ahí oyendo el radio, pos haciendo así platicando y haciendo comida y echarnos un refresco",domingos íbamos rato pueblo después veníanos estabanos ahí oyendo radio pos haciendo así platicando haciendo comida echarnos refresco,Living Conditions / Condiciones de vida,318,0.7291329155471369
"Y, de ahí mismo fui a la escuela, pero sin terminar la primaria porque nomás había de primero a tercero aprobado cuarto, se acabó",ahí mismo escuela terminar primaria nomás primero tercero aprobado cuarto acabó,Living Conditions / Condiciones de vida,-1,0.0
"En las mismas condiciones, nos subían al tren y nos bajaron hasta, fuimos hasta un pueblo que se llama Dodge City, Kansas",mismas condiciones subían tren bajaron pueblo llama dodge city kansas,Living Conditions / Condiciones de vida,14,1.0
"MP:	Me imagino que tenían el servicio de comida ahí, ¿verdad",mp imagino servicio comida ahí verdad,Living Conditions / Condiciones de vida,3,1.0
"Y vivíanos en un, en un cuarto enterrado y nomás le salía así por ejemplo, casi con aquellas, las ventanitas a la ras del piso de arriba y nosotros estábanos adentro",vivíanos cuarto enterrado nomás salía así ejemplo casi aquellas ventanitas ras piso arriba estábanos adentro,Living Conditions / Condiciones de vida,-1,0.0
