Original Sentence,Cleaned Sentence,BERTopic Topic,Topic Probability,Predefined Topic
"I had two helpers under me, in addition to two other nongovernmental employees that worked for a contractor that were responsible for feeding the braceros",two helpers addition two nongovernmental employees worked contractor responsible feeding braceros,-1,0.0,Migration Motivation
The bracero reception center was always crowded with what we called contractors,bracero reception center always crowded called contractors,74,1.0,Migration Motivation
"We called it a selection line, and there the contractors or farmers, whichever would happen to be the case, would speak to them, and based on a very, very short interview, three, four questions: “Do you know how to pick cotton",called selection line contractors farmers whichever would happen case would speak based short interview three four questions know pick cotton,-1,0.0,Migration Motivation
"They would select them, and they were considered then the property of that contractor or that farmer",would select considered property contractor farmer,1,0.5271076084734255,Migration Motivation
"They were placed aside and processed individually under that contractor, under that farmer, and eventually transported to their final destination, either the farm of the individual farmer or wherever the contractor would choose to send them, because the contractors would contract for several farmers",placed aside processed individually contractor farmer eventually transported final destination either farm individual farmer wherever contractor would choose send contractors would contract several farmers,1,0.881458119443099,Migration Motivation
"The next morning, we would feed them breakfast, and the contractors would be there at seven o’clock in the morning at the selection line to contract more",next morning would feed breakfast contractors would seven oclock morning selection line contract,57,0.21462631501940116,Migration Motivation
"After they were processed through public health, then they were sent through contracting, no, they were selected and then they were sent through contracting",processed public health sent contracting selected sent contracting,4,1.0,Migration Motivation
"I don’t know that even the contractors read them; I don’t know that even the farmers read them, but it was all legalese",dont know even contractors read dont know even farmers read legalese,1,1.0,Migration Motivation
"Immigration, then they were clear to be contracted, and that’s when they were moved to the selection line",immigration clear contracted thats moved selection line,40,1.0,Migration Motivation
"But getting back to the 80 percent that remained at the bracero reception center, the next morning, another 20 or 30 percent would leave, they were selected and contracted and processed",getting back 80 percent remained bracero reception center next morning another 20 30 percent would leave selected contracted processed,74,0.24496545467265712,Migration Motivation
"Of course, the braceros got used to the idea of the Army, that you hurry up and wait and stand in line, you stand in line to be fed, you stand in line to be contracted, you stand in line to be processed through immigration, you stand in line to be processed through public health, you stand in line to get blankets, you stand in line to do this and that and the other",course braceros got used idea army hurry wait stand line stand line fed stand line contracted stand line processed immigration stand line processed public health stand line get blankets stand line,104,0.44186954199740147,Migration Motivation
"), some kind of a plan so that they would go to the same farm, and I would tell them, “Well, the best way to do that is when the contractor asks you, ‘Do you know how to pick cotton",kind plan would go farm would tell well best way contractor asks know pick cotton,-1,0.0,Migration Motivation
"So, if all of you say yes to just about everything the contractor is asking you, it’s very likely that all of us will go to the same farm",say yes everything contractor asking likely us go farm,1,1.0,Migration Motivation
"If two or three of you have experience picking cotton and then four or five of you don’t, well you know they’re not going to send you to the same place, because the contractor wants people with experience, because they’re the braceros that pick cotton the quickest and the fastest and who become the most profitable",two three experience picking cotton four five dont well know theyre going send place contractor wants people experience theyre braceros pick cotton quickest fastest become profitable,-1,0.0,Migration Motivation
"When they were coming back after they had completed the contract or when the job had been finished, whichever would come first, they would come back to the bracero reception center, and they would go back home",coming back completed contract job finished whichever would come first would come back bracero reception center would go back home,74,0.2645620956574747,Migration Motivation
"Schaeffer, chief of contracting, McDonald, everybody called him",schaeffer chief contracting mcdonald everybody called,-1,0.0,Migration Motivation
CC:	Amen Wardy was the private contractor who contracted with the Department of Labor to feed the braceros,cc amen wardy private contractor contracted department labor feed braceros,-1,0.0,Migration Motivation
"RC:	After they completed their work contract, and they came back through, tell me about when they would come back",rc completed work contract came back tell would come back,4,1.0,Migration Motivation
"They would go through contracting, and the contract would be terminated, nullified, or whatever, I don’t recall the terminology",would go contracting contract would terminated nullified whatever dont recall terminology,4,1.0,Migration Motivation
"When I was working there, my guess is that only 1 or 2 percent remained behind, and a lot of them remained behind, because their contracts were extended, which was legal",working guess 1 2 percent remained behind lot remained behind contracts extended legal,4,1.0,Migration Motivation
"The farmer, or the rancher, or the contractor would contact the bracero reception center and provide the information that was needed to the Department of Labor, detailing who needed whom for what, for what extended period of time",farmer rancher contractor would contact bracero reception center provide information needed department labor detailing needed extended period time,1,1.0,Migration Motivation
"And also it was rumored, and I don’t know this first hand, that some of the braceros would leave the farms when the contract was up, and they’d go to another farmer and work illegally as undocumented Mexican",also rumored dont know first hand braceros would leave farms contract theyd go another farmer work illegally undocumented mexican,466,1.0,Migration Motivation
"If the accident was severe, their contracts were cancelled there at the hospital, and they were sent back home",accident severe contracts cancelled hospital sent back home,214,1.0,Migration Motivation
"Working for the INS, they were looking for bilingual clerk typists to work on the Bracero Program",working ins looking bilingual clerk typists work bracero program,33,0.07770444775421802,Migration Motivation
FC:	Could you please describe your role in the Bracero Program,fc could please describe role bracero program,36,0.5138597675995601,Migration Motivation
CB:	I don’t know if the person that was taking them back was the contractor or a representative of the contractor,cb dont know person taking back contractor representative contractor,4,1.0,Migration Motivation
"FC:	When a bracero completed his work contract and returned to Mexico, was he required to pass back through a center to make his return official",fc bracero completed work contract returned mexico required pass back center make return official,118,0.6874263820366101,Migration Motivation
"I think some of the contracts were for three months, some were for longer, and some were shorter",think contracts three months longer shorter,245,1.0,Migration Motivation
FC:	What do you think were the affects of the Bracero Program on the work of the INS,fc think affects bracero program work ins,36,0.7724982160753977,Migration Motivation
"CB:	Now that so many years have gone by, I think that the Bracero Program was a good program",cb many years gone think bracero program good program,36,1.0,Migration Motivation
"DH:	I don’t remember when that bracero program started, but when it started, I was growing cotton, and there was no mechanical cotton pickers at that time, it was all handpicked cotton, so I started contracting braceros",dh dont remember bracero program started started growing cotton mechanical cotton pickers time handpicked cotton started contracting braceros,7,0.7095098637390267,Migration Motivation
"DH:	Okay, I probably started contracting braceros in the midfifties",dh okay probably started contracting braceros midfifties,-1,0.0,Migration Motivation
"DH:	While the bracero program was in effect, all my farming was in cotton",dh bracero program effect farming cotton,-1,0.0,Migration Motivation
"DH:	My main use was for cotton picking, and I usually contracted anywhere from fifteen to twenty braceros",dh main use cotton picking usually contracted anywhere fifteen twenty braceros,7,0.6273810932201707,Migration Motivation
BM:	Was that typically the length of the work contract for the bracero,bm typically length work contract bracero,-1,0.0,Migration Motivation
"Now, the braceros that were contracted to go to Pecos, out of Rio Vista, they hauled them over there in the back of cattle trucks",braceros contracted go pecos rio vista hauled back cattle trucks,61,0.33081491073623576,Migration Motivation
"BM:	Did the farm bureau, to your knowledge, have any influence over the operation of the bracero program",bm farm bureau knowledge influence operation bracero program,36,0.3951653101708063,Migration Motivation
"BM:	Does anyone in—  DH: 	I had a neighbor next to me, that he also contracted braceros",bm anyone dh neighbor next also contracted braceros,-1,0.0,Migration Motivation
"DH:	No, the bracero program was strictly for male employees",dh bracero program strictly male employees,-1,0.0,Migration Motivation
"When the contract ended with the braceros, did they go straight to Mexico",contract ended braceros go straight mexico,118,0.3069197671195355,Migration Motivation
"BM:	I see, but if it was not necessarily the end of the contract, and your neighbor needed someone, they could go work for him for a few days",bm see necessarily end contract neighbor needed someone could go work days,0,1.0,Migration Motivation
BM:	Did you ever have any conflict during the bracero program between hiring braceros and hiring undocumented workers,bm ever conflict bracero program hiring braceros hiring undocumented workers,-1,0.0,Migration Motivation
"At that time, when the bracero program went out of existence, that’s when the illegal immigrants came in here to look for work",time bracero program went existence thats illegal immigrants came look work,-1,0.0,Migration Motivation
"DH:	Most of ‘em, the ones that I contracted, were real good workers, real dedicated to doing farmwork",dh em ones contracted real good workers real dedicated farmwork,1,1.0,Migration Motivation
BM:	What would you say were the advantages and disadvantages of the bracero program,bm would say advantages disadvantages bracero program,36,0.4973648701412521,Migration Motivation
"BM:	Initially, when mechanization began, and the braceros were preferable to—  DH:	They terminated the bracero program, I think on account of the labor unions",bm initially mechanization began braceros preferable dh terminated bracero program think account labor unions,69,0.08436316990613062,Migration Motivation
They always complained the bracero program was taking the jobs that the American people should be doing,always complained bracero program taking jobs american people,-1,0.0,Migration Motivation
"So, they terminated the bracero program, and that stimulated the work on the mechanical pickers",terminated bracero program stimulated work mechanical pickers,69,0.1450109157576869,Migration Motivation
"No, at this point, the bracero program wouldn’t do any good for the cotton crop",point bracero program wouldnt good cotton crop,7,0.42962742421641703,Migration Motivation
"But now, a labor contractor goes to the border, and picks up the workers from the border, and brings them to the farmer, wherever there is a need for them",labor contractor goes border picks workers border brings farmer wherever need,-1,0.0,Migration Motivation
"The labor contractor, he owns a bus, he picks them up at the border, brings them to the farmer, and charges the farmer for transporting the labor and keeping records on them, and the farmer pays the labor contractor and he pays the labor",labor contractor owns bus picks border brings farmer charges farmer transporting labor keeping records farmer pays labor contractor pays labor,1,0.638377510677587,Migration Motivation
