Original Sentence,Cleaned Sentence,Predefined Topic,BERTopic Topic,Topic Probability
"MP:	Y platíqueme, ¿cómo se dio cuenta de que existió el Programa Bracero en aquel entonces",mp platíqueme cómo dio cuenta existió programa bracero aquel entonces,Migration Motivation / Motivación para migrar,37,1.0
"Por seis meses, fue contrato de seis meses, pues fue el tiempo de la Revolución, los hombres de aquí íbamos a la labor, al ferrocarril, a la fábrica y creo yo que hicimos mucho bien a Estados Unidos",seis meses contrato seis meses pues tiempo revolución hombres aquí íbamos labor ferrocarril fábrica creo hicimos bien unidos,Migration Motivation / Motivación para migrar,56,1.0
"Los contratos eran de cuarenta días, renovaba uno seguido, llegaba uno a estarse hasta un año allá",contratos cuarenta días renovaba seguido llegaba estarse año allá,Migration Motivation / Motivación para migrar,155,0.8539243514385956
"MP:	Entonces por ejemplo del sueldo que les pagaban a ustedes o más bien, de lo que decía el contrato que les iban a pagar, ¿de ese dinero les restaban la cantidad que ellos tenían que pagarle al Gobierno Mexicano",mp entonces ejemplo sueldo pagaban ustedes bien decía contrato iban pagar dinero restaban cantidad pagarle gobierno mexicano,Migration Motivation / Motivación para migrar,-1,0.0
"Porque eran contratos chicos, iba uno y venía, y si quería uno renovar, se quedaba allá, pero como son las primeras veces que sale uno…  MP:	Permítame tantito",contratos chicos iba venía si quería renovar quedaba allá primeras veces sale mp permítame tantito,Migration Motivation / Motivación para migrar,4,1.0
"Y con esas palancas pues iba un compadre mío y le daban hasta quince números y ya no batallábamos mucho, nomás llegábamos y salíamos",palancas pues iba compadre daban quince números batallábamos nomás llegábamos salíamos,Migration Motivation / Motivación para migrar,-1,0.0
"Llegó La Migración y ya fui, me llevó La Migración pa que me pagaran y le pudo mucho, como que se enojó con los de Migración y me dijo a mí que volviera",llegó migración llevó migración pa pagaran pudo enojó migración dijo volviera,Migration Motivation / Motivación para migrar,30,1.0
"Eso sí, se portaron bien los de migración porque me llevaron a cambiar el cheque y luego luego me echaron por Juárez",portaron bien migración llevaron cambiar cheque luego luego echaron juárez,Migration Motivation / Motivación para migrar,30,0.6149035970439797
"MP:	Y después, ¿cuántas veces renovó el contrato aquí con este ranchero en Las Cruces",mp después cuántas veces renovó contrato aquí ranchero cruces,Migration Motivation / Motivación para migrar,4,1.0
"EE:	Nomás ése, estuve un año y luego volví de mojado, fue cuando me agarró La Migración",ee nomás ése año luego volví mojado agarró migración,Migration Motivation / Motivación para migrar,41,1.0
"EE:	Sí, era de contrato, más o menos, ellos pagaban, los surcos son de a milla, de una milla, nos pagaban por acres",ee contrato menos pagaban surcos milla milla pagaban acres,Migration Motivation / Motivación para migrar,4,1.0
"Porque, pues no estaban cumpliendo con el contrato, no estaban haciendo otras cosas que no era del contrato",pues cumpliendo contrato haciendo cosas contrato,Migration Motivation / Motivación para migrar,4,1.0
"“No, no vayas ahí porque de vez en cuando viene La Migración y, ¿sabes qué",vayas ahí vez viene migración sabes,Migration Motivation / Motivación para migrar,30,1.0
"Dice, en Texas La Emigración, ve un mojado y los siguen hasta que lo agarran",dice texas emigración mojado siguen agarran,Migration Motivation / Motivación para migrar,16,0.3751863922980919
"Y fui con una mujer que arregla papeles de inmigración aquí en Guadalupe y le enseñé el seguro social y…Pero antes, un primo mío trabajó con mi seguro social cinco años, ¡ándele",mujer arregla papeles inmigración aquí guadalupe enseñé seguro social ypero primo trabajó seguro social cinco años ándele,Migration Motivation / Motivación para migrar,185,0.1703269611375487
"MP:	Ya para terminar la entrevista, no sé si tenga alguna otra anécdota o algún comentario final acerca de lo que fue el Programa Bracero, ¿qué le pareció",mp terminar entrevista sé si alguna anécdota algún comentario final acerca programa bracero pareció,Migration Motivation / Motivación para migrar,146,1.0
"EE:	Pos mire, pos fue bueno para nosotros porque pos había, no había trabajo y la gente que venía de allá, los primeros braceros sí se ganaron mucho dinero porque eran los contratos de seis meses y les pagaban el mínimo de allá",ee pos mire pos bueno pos trabajo gente venía allá primeros braceros ganaron dinero contratos seis meses pagaban mínimo allá,Migration Motivation / Motivación para migrar,56,0.6249847261596223
MP:	¿Cómo fue usted que se enteró del Programa Bracero,mp cómo usted enteró programa bracero,Migration Motivation / Motivación para migrar,37,1.0
"EH:	Ahí en Willcox, Arizona fue el último contrato, ya no volví a ir",eh ahí willcox arizona último contrato volví ir,Migration Motivation / Motivación para migrar,4,1.0
"EH:	Éramos cuatro, cuatro los que nos contrato ahí el patrón de ahí, de Wyoming",eh cuatro cuatro contrato ahí patrón ahí wyoming,Migration Motivation / Motivación para migrar,97,0.5912852871460148
"MP:	A aquí, y luego, cuando se le acabó el contrato ahí en Wyoming, ya no lo renovó, ¿no tuvo chanza de renovarlo o no quiso renovarlo",mp aquí luego acabó contrato ahí wyoming renovó chanza renovarlo quiso renovarlo,Migration Motivation / Motivación para migrar,4,1.0
"MP:	Y, ¿luego ya se les acabó el contrato y se vinieron acá ya más para el sur, Nuevo México, Arizona",mp luego acabó contrato vinieron acá sur nuevo méxico arizona,Migration Motivation / Motivación para migrar,111,0.4908157752483261
"Pero pos de contrato, era de contrato lo del algodón, no era de raya, pero pues el que era bueno para piscar sí ganaba buen dinero",pos contrato contrato algodón raya pues bueno piscar ganaba buen dinero,Migration Motivation / Motivación para migrar,6,0.6717673796928169
"Yo cumplía con mis contratos, no sé si alguna gente le haría así, quién sabe",cumplía contratos sé si alguna gente haría así quién sabe,Migration Motivation / Motivación para migrar,4,1.0
"Pero con los compañeros que anduve yo, ninguno se vino antes de cumplir el contrato",compañeros anduve ninguno vino cumplir contrato,Migration Motivation / Motivación para migrar,4,1.0
"EH:	Pues a lo mejor hasta, había hasta mojados, pero pos pero nunca, yo no me acuerdo que haiga llegado La Migración con nosotros ahí donde anduviéramos trabajando",eh pues mejor mojados pos nunca acuerdo haiga llegado migración ahí anduviéramos trabajando,Migration Motivation / Motivación para migrar,30,0.9441368454646254
"Porque nosotros nunca vimos La Migración ahí cuando, donde anduviéramos trabajando, anduvimos trabajando, nunca nos, nunca llegó ahí La Migración",nunca vimos migración ahí anduviéramos trabajando anduvimos trabajando nunca nunca llegó ahí migración,Migration Motivation / Motivación para migrar,30,1.0
