Original Sentence,Cleaned Sentence,BERTopic Topic,Topic Probability,Predefined Topic
"Sometimes, I would be going by when he was querying them, after their return from the farms, and he would point at me, and he would ask them, in Spanish of course, “¿Cómo los trato el Sargento Mal Pagado",sometimes would going querying return farms would point would ask spanish course cómo trato sargento mal pagado,33,0.3825066266285721,Return and Reflections
RC:	What is your sense of what percentage of braceros actually returned to Mexico,rc sense percentage braceros actually returned mexico,19,0.5814620987704462,Return and Reflections
"CC:	Yes, we would hear of them, and on occasion we would hear some braceros returning home on crutches or with canes",cc yes would hear occasion would hear braceros returning home crutches canes,333,0.6900923902249939,Return and Reflections
RB:	I guess it reflects more on the total immersion you were put into over there in the Mexican school,rb guess reflects total immersion put mexican school,19,0.7521999926510887,Return and Reflections
We had to make sure that the people that left came back and returned to Mexico,make sure people left came back returned mexico,-1,0.0,Return and Reflections
"”  I felt bad, not only because of the illness, but because they were going to be returned to Mexico",felt bad illness going returned mexico,-1,0.0,Return and Reflections
"They would be returned, and they would be given medical care",would returned would given medical care,-1,0.0,Return and Reflections
"It was a case study of Chihuahua, and the history of where they went, what they did, the type of work they did, and what impact this had on different communities",case study chihuahua history went type work impact different communities,424,0.8140735311229889,Return and Reflections
"I went down there and talked to them, you know, the presidentes, priests, businessmen, and returned braceros",went talked know presidentes priests businessmen returned braceros,100,0.04270372956627635,Return and Reflections
"RH:	The return process, well, we would just take them when the farmer was done",rh return process well would take farmer done,1,1.0,Return and Reflections
"If they were caught in transit, say from the border to the farm, they would get picked up and returned back to Mexico",caught transit say border farm would get picked returned back mexico,-1,0.0,Return and Reflections
Pero a mí se me hace que era para regadío y había árboles y la Policía anduvo por los campos con reflectores y todo en la noche y no lo encontraron,hace regadío árboles policía anduvo campos reflectores noche encontraron,137,0.3798793884326455,Return and Reflections
"VD:	Y a la distancia, señor Manuel, después de varios años que usted se recuerde que, pues esa experiencia, ¿qué impacto tuvo en su vida haber estado por allá en Estados Unidos",vd distancia señor manuel después varios años usted recuerde pues experiencia impacto vida haber allá unidos,218,0.9513452668369938,Return and Reflections
"Ahora me pongo yo a pensar, si hubiera, se hubiera dado cuenta de los teléfonos, había sido más…  AA:	Impactante",ahora pongo pensar si dado cuenta teléfonos sido aa impactante,235,0.6868618606476523,Return and Reflections
"Es que hay, desde el punto de vista nomás que trate uno, que se exprese uno mal de alguna persona, con eso ya hiere uno a otros, lastima uno pues su orgullo, su pride de otra persona",punto vista nomás trate exprese mal alguna persona hiere lastima pues orgullo pride persona,-1,0.0,Return and Reflections
"IN:	Fairness es igual a regular, fíjese, pero el respeto sí, no lastimar el pride, o sea el orgullo de la persona",fairness igual regular fíjese respeto lastimar pride orgullo persona,277,0.5392304074993884,Return and Reflections
"well, with the same attention with which she had given me her consent and her blessing to come on one occasion, I returned",well attention given consent blessing come one occasion returned,-1,0.0,Return and Reflections
I returned for two weeks and I came to work again with the same boss doing the same work,returned two weeks came work boss work,285,0.8278077410147688,Return and Reflections
"So I asked the boss to take me to buy clothes, and he told me, “I am going to take you and I am going to tell you how to return on the bus, but I cannot wait for you",asked boss take buy clothes told going take going tell return bus cannot wait,25,1.0,Return and Reflections
He asked me for the money and he returned around eleven at night with other morenos and they started to bang hard on my door with some iron rails,asked money returned around eleven night morenos started bang hard door iron rails,5,1.0,Return and Reflections
"I said that I would not return to Texas because if they had gotten me I wouldn’t be here today, here, in this interview",said would return texas gotten wouldnt today interview,17,0.8546668312494714,Return and Reflections
They said that if we got our residency they would lose us and we wouldn’t return to see them and they didn’t want us to get our residency,said got residency would lose us wouldnt return see didnt want us get residency,390,1.0,Return and Reflections
ML:	Did your boss arrange transportation to return to México,ml boss arrange transportation return méxico,-1,0.0,Return and Reflections
"So when I returned, I put myself in charge of caring for my mom’s mom and one of my sisters",returned put charge caring moms mom one sisters,347,0.9401304726367665,Return and Reflections
I accumulated a small amount of capital so I thought that I didn’t need to return to the United States anymore,accumulated small amount capital thought didnt need return united states anymore,-1,0.0,Return and Reflections
JL:	My uncle came illegally to Chicago in [19]56 and after he returned illegally he got married,jl uncle came illegally chicago 1956 returned illegally got married,96,0.051084922198700415,Return and Reflections
"Como reflexión final, ¿qué diría que fue el impacto del Programa Bracero en su vida",reflexión final diría impacto programa bracero vida,-1,0.0,Return and Reflections
"MS:	Una de las cosas que más le, me imagino que le ha impactado porque eso lo, lo recordaba mucho, era la comida, el compañerismo que tenía con los compañeros, y que se sentía libre",ms cosas imagino impactado recordaba comida compañerismo compañeros sentía libre,53,0.46469315602079186,Return and Reflections
AE:	¿Usted sabe si eso tuvo un impacto sobre la decisión de su papá de venirse,ae usted sabe si impacto decisión papá venirse,3,1.0,Return and Reflections
"AE:	Bueno, le quiero preguntar otra vez, ¿qué tipo de impacto usted cree que el Programa Bracero tuvo en su vida personal",ae bueno quiero preguntar vez tipo impacto usted cree programa bracero vida personal,-1,0.0,Return and Reflections
"MS:	El impacto fue por lo que me platicaba, porque él me enseñaba inglés y cuando yo ya fui a la escuela, en la secundaria, a mí se me hizo muy fácil todo eso y siempre me gustó el idioma, fue lo que a mí más",ms impacto platicaba enseñaba inglés escuela secundaria hizo fácil siempre gustó idioma,37,1.0,Return and Reflections
"VM:	Como, ¿impactó su vida el que su papá se haya venido de bracero",vm impactó vida papá venido bracero,3,1.0,Return and Reflections
We are glad to know that there is a posibility that he will have an opportunity to return to us,glad know posibility opportunity return us,184,0.5083167173764926,Return and Reflections
