Original Sentence,Cleaned Sentence,Predefined Topic,BERTopic Topic,Topic Probability
"EE:	Pues estaban allegados a Pro-Justicia y también este señor Villarreal, don Lázaro",ee pues allegados projusticia señor villarreal lázaro,Return and Reflections / Retorno y reflexiones,-1,0.0
"MP:	Y si ustedes por ejemplo ya decían: “No, pues ya mejor me regreso a mi casa”, o, “ya no quiero seguir trabajando aquí”",mp si ustedes ejemplo decían pues mejor regreso casa quiero seguir trabajando aquí,Return and Reflections / Retorno y reflexiones,95,0.8135195216531226
"Entonces informé con el correo y no, este, no había llegado y estaban por hacérmelo boruca",entonces informé correo llegado hacérmelo boruca,Return and Reflections / Retorno y reflexiones,35,0.9677480492917382
"Habló a las oficinas, dijo: “El dinero está en México, tu dinero está en México y si por alguna causa no te ha llegado, me hablas”",habló oficinas dijo dinero méxico dinero méxico si alguna causa llegado hablas,Return and Reflections / Retorno y reflexiones,219,0.8008021277543557
"AQ:	Sí, nos agarraban y metían en ahí ese que meten en, en las… Hacen los cambios, lo metían a un cambio y lo…Y paraban ahí y luego de ahí le, lo conectaban con agua y escusado y todo, ¿no",aq agarraban metían ahí meten hacen cambios metían cambio loy paraban ahí luego ahí conectaban agua escusado,Return and Reflections / Retorno y reflexiones,44,0.6860457527103236
"Le dije: “Pos a mí, si no te gusta”, le digo, “dame el cheque de regreso y me voy”, le dije, “y se acabó el lío",dije pos si gusta digo dame cheque regreso voy dije acabó lío,Return and Reflections / Retorno y reflexiones,55,0.3635540448073924
"Y, luego ya…  MP:	Entonces, no batalló para, ya cuando vino de regreso a Estados Unidos, pos, en realidad, no batalló, ¿verdad",luego mp entonces batalló vino regreso unidos pos realidad batalló verdad,Return and Reflections / Retorno y reflexiones,9,1.0
"Entonces informé con el correo y no, este, no había llegado y estaban por hacérmelo boruca",entonces informé correo llegado hacérmelo boruca,Return and Reflections / Retorno y reflexiones,35,0.9453946999314907
"Habló a las oficinas, dijo: “El dinero está en México, tu dinero está en México y si por alguna causa no te ha llegado, me hablas”",habló oficinas dijo dinero méxico dinero méxico si alguna causa llegado hablas,Return and Reflections / Retorno y reflexiones,219,0.9789780630195525
"MP:	Ah, ¿o sea que de todas maneras ellos pagaban el viaje de regreso",mp ah todas maneras pagaban viaje regreso,Return and Reflections / Retorno y reflexiones,115,0.5941247573248543
"MP:	Y ustedes, ¿sí podían llevar con ustedes, no sé por ejemplo, cambios de ropa o cobijas o herramientas para trabajar",mp ustedes podían llevar ustedes sé ejemplo cambios ropa cobijas herramientas trabajar,Return and Reflections / Retorno y reflexiones,22,0.5183899422328041
"Yo creo que por eso no vigilaban mucho los ranchos, porque sí, ahí estuvo uno que había llegado de mojado, pero una gente nomás, pero no, nunca",creo vigilaban ranchos ahí llegado mojado gente nomás nunca,Return and Reflections / Retorno y reflexiones,0,0.9294079758688867
"No ya, pos estuvimos listos ya, cuando pasó ya el camión ya de regreso, éramos diez nomás, pero ya cuando vino por la gente ya éramos veinte, ya se animaron más gentes de ese rancho",pos listos pasó camión regreso diez nomás vino gente veinte animaron gentes rancho,Return and Reflections / Retorno y reflexiones,-1,0.0
