Original Sentence,Cleaned Sentence,BERTopic Topic,Topic Probability,Predefined Topic
"Y en las otras partes estábanos dos, tres nomás en cada cuarto del ranchito",partes estábanos dos tres nomás cada cuarto ranchito,-1,0.0,Violence
"Dos acres cada, dos acres y cachito cada quien nos salía por el día",dos acres cada dos acres cachito cada salía día,1,0.3765551098868138,Violence
"O nos íbanos ahí al pueblo, como está cerca, nos íbanos un rato al pueblo y ahí nos regresábamos al ranchito",íbanos ahí pueblo cerca íbanos rato pueblo ahí regresábamos ranchito,483,1.0,Violence
"EE:	Sí, y pasaba yo por el ranchito yo y, ay, las chavalas me contestaban muy luego luego",ee pasaba ranchito ay chavalas contestaban luego luego,-1,0.0,Violence
"Y lo dejó, entonces se hicieron compadres, y se fueron a los ranchitos ahí alrededor, a traerse la lana porque ese hombre no perdía",dejó entonces hicieron compadres ranchitos ahí alrededor traerse lana hombre perdía,-1,0.0,Violence
"Y éste otro no, éste sí pasó a Estados Unidos y como sabe poquito inglés y luego conoce algunos trabajos, éste se fue derechito con un patrón que no sé en qué parte fue",éste éste pasó unidos sabe poquito inglés luego conoce trabajos éste derechito patrón sé parte,37,0.848944085139546,Violence
"Y él como sí ya tenía mucho visto Estados Unidos, decía: “Aquí hay que irnos derechitos",visto unidos decía aquí irnos derechitos,-1,0.0,Violence
"Pues yo también guardaba, pero ya le digo yo mandé $20 dólares nomás, lo demás yo lo guardaba también",pues guardaba digo mandé 20 dólares nomás demás guardaba,2,1.0,Violence
"Y lo dejó, entonces se hicieron compadres, y se fueron a los ranchitos ahí alrededor, a traerse la lana porque ese hombre no perdía",dejó entonces hicieron compadres ranchitos ahí alrededor traerse lana hombre perdía,-1,0.0,Violence
"Y éste otro no, éste sí pasó a Estados Unidos y como sabe poquito inglés y luego conoce algunos trabajos, éste se fue derechito con un patrón que no sé en qué parte fue",éste éste pasó unidos sabe poquito inglés luego conoce trabajos éste derechito patrón sé parte,37,0.8640597898924353,Violence
"Y él como sí ya tenía mucho visto Estados Unidos, decía: “Aquí hay que irnos derechitos",visto unidos decía aquí irnos derechitos,-1,0.0,Violence
"Pues yo también guardaba, pero ya le digo yo mandé $20 dólares nomás, lo demás yo lo guardaba también",pues guardaba digo mandé 20 dólares nomás demás guardaba,2,1.0,Violence
"GB:	Ahí en ese ranchito donde estuvimos en Canutillo la primer vez, el patrón tenía una tiendita y de allí nos surtíamos nosotros para hacer la comida ahí nosotros, de ahí mismo sacábamos y al final de semana le pagábamos la provisión",gb ahí ranchito canutillo primer vez patrón tiendita allí surtíamos hacer comida ahí ahí mismo sacábamos final semana pagábamos provisión,-1,0.0,Violence
"Y allá en Wichita me tocó andar poniendo nogalera, nogales pa las nueces",allá wichita tocó andar poniendo nogalera nogales pa nueces,239,0.9907370943339892,Violence
