Original Sentence,Cleaned Sentence,Predefined Topic,BERTopic Topic,Topic Probability
"EE:	Sí, y pasaba yo por el ranchito yo y, ay, las chavalas me contestaban muy luego luego",ee pasaba ranchito ay chavalas contestaban luego luego,Violence / Violencia,194,0.23655778250865858
"Y éste otro no, éste sí pasó a Estados Unidos y como sabe poquito inglés y luego conoce algunos trabajos, éste se fue derechito con un patrón que no sé en qué parte fue",éste éste pasó unidos sabe poquito inglés luego conoce trabajos éste derechito patrón sé parte,Violence / Violencia,43,1.0
"Y él como sí ya tenía mucho visto Estados Unidos, decía: “Aquí hay que irnos derechitos",visto unidos decía aquí irnos derechitos,Violence / Violencia,-1,0.0
"Pues yo también guardaba, pero ya le digo yo mandé $20 dólares nomás, lo demás yo lo guardaba también",pues guardaba digo mandé 20 dólares nomás demás guardaba,Violence / Violencia,77,0.7742045709250189
"Dos acres cada, dos acres y cachito cada quien nos salía por el día",dos acres cada dos acres cachito cada salía día,Violence / Violencia,0,0.4754771213398496
"O nos íbanos ahí al pueblo, como está cerca, nos íbanos un rato al pueblo y ahí nos regresábamos al ranchito",íbanos ahí pueblo cerca íbanos rato pueblo ahí regresábamos ranchito,Violence / Violencia,452,0.9234177398769263
"Y éste otro no, éste sí pasó a Estados Unidos y como sabe poquito inglés y luego conoce algunos trabajos, éste se fue derechito con un patrón que no sé en qué parte fue",éste éste pasó unidos sabe poquito inglés luego conoce trabajos éste derechito patrón sé parte,Violence / Violencia,43,1.0
"Y él como sí ya tenía mucho visto Estados Unidos, decía: “Aquí hay que irnos derechitos",visto unidos decía aquí irnos derechitos,Violence / Violencia,-1,0.0
"Pues yo también guardaba, pero ya le digo yo mandé $20 dólares nomás, lo demás yo lo guardaba también",pues guardaba digo mandé 20 dólares nomás demás guardaba,Violence / Violencia,77,0.6999146590773977
"Y allá en Wichita me tocó andar poniendo nogalera, nogales pa las nueces",allá wichita tocó andar poniendo nogalera nogales pa nueces,Violence / Violencia,65,0.9981353233600364
"IN:	Taba, taba en la pura guardarraya de Canadá, yo esa vez, cuando estuve allá",taba taba pura guardarraya canadá vez allá,Violence / Violencia,-1,0.0
"Bueno y este, también cumplimos y nos venimos a México y el [19]54 me tocó, el [19]54 me tocó, ora verá en un pueblo, que verá, La Asociación taba en un pueblo que se llama Dimmitt, Texas, muy cerquita de Lubbock, pero tábamos en un pueblito muy chiquito que se llamaba Whitesize(",bueno cumplimos venimos méxico 1954 tocó 1954 tocó ora verá pueblo verá asociación taba pueblo llama dimmitt texas cerquita lubbock tábamos pueblito chiquito llamaba whitesize,Violence / Violencia,148,0.4650604373358408
"JE:	Ahí se quedaba aguardada y cuando salía uno, se la entregaban",je ahí quedaba aguardada salía entregaban,Violence / Violencia,344,0.5202412822945649
"Pero, decía que…Ah, bueno, pero, fue un rancho cerca de…  JE:	Sí, en un ranchito",decía queah bueno rancho cerca je ranchito,Violence / Violencia,0,1.0
"Al revés lo hacía pa vacilar con uno, porque lo subía derechito y luego lo dejaba caer pa bajo",revés hacía pa vacilar subía derechito luego dejaba caer pa bajo,Violence / Violencia,-1,0.0
"Y este lo debí de haber  entregado allá, pero no lo entregué me lo traje mire, la he guardado porque yo la guardé porque dije voy a guardarla como una identificación",debí haber entregado allá entregué traje mire guardado guardé dije voy guardarla identificación,Violence / Violencia,116,0.8831294812876239
"Porque ya los, toda la gente que acaban con ellos, ora quieren pura gente nueva de unos de veinte a treinta años pa que den todo lo que deben dar, entonces ya a los setenta vámonos a México porque ya no sirves tú, pos ahí tiene un peso guardado pero, ¿pa qué lo quieren",toda gente acaban ora quieren pura gente nueva veinte treinta años pa den deben dar entonces setenta vámonos méxico sirves pos ahí peso guardado pa quieren,Violence / Violencia,-1,0.0
"MP:	Y, ¿nunca se dio usted cuenta que hubiera habido algún detalle ahí entre un soldado que haya golpeado a algún…",mp nunca dio usted cuenta algún detalle ahí soldado golpeado algún,Violence / Violencia,13,1.0
"Porque mucha gente loca hasta se llegó a golpear, se caíban, llegaban borrachos, yo nunca me gustó la tomada",mucha gente loca llegó golpear caíban llegaban borrachos nunca gustó tomada,Violence / Violencia,172,0.33821197589103774
"Yo tengo unos hijos en Wichica [Wichita], también un hijo mío también es vago y le tocó ver a otro que mataron ahí y era amigo de él al que mataron",hijos wichica wichita hijo vago tocó ver mataron ahí amigo mataron,Violence / Violencia,-1,0.0
"No, no, pos nosotros estábanos en un ranchito separado de la tienda, de los otros ranchos donde estaban la demás gente, ahí estábanos en la orilla",pos estábanos ranchito separado tienda ranchos demás gente ahí estábanos orilla,Violence / Violencia,0,1.0
"Aunque había veces que la gente que estaban ahí, como es decir, los sardos que deste, resguardaban ahí, tenía uno que en veces, en aquel tiempo, darles $1 peso o $2 pesos pa que lo pasaran a uno más, pos sí, más pronto ahí; aunque lo trajera a uno el presidente, de todos modos ahí lo estafaban a uno, sí",aunque veces gente ahí decir sardos deste resguardaban ahí veces aquel tiempo darles 1 peso 2 pesos pa pasaran pos pronto ahí aunque trajera presidente modos ahí estafaban,Violence / Violencia,-1,0.0
"Nomás castigaran, verían a ver si la hacían",nomás castigaran verían ver si hacían,Violence / Violencia,-1,0.0
"Pos precisamente un hijo de Martín, mi hermano, que estaba en el otro lado, lo golpearon mucho y lo tienen detenido",pos precisamente hijo martín hermano lado golpearon detenido,Violence / Violencia,7,1.0
"RP:	Pero ahí, ahí en Juárez, en la pasada lo golpearon y todo y no le dejaron ni el mueble que traiba, esa troca",rp ahí ahí juárez pasada golpearon dejaron mueble traiba troca,Violence / Violencia,-1,0.0
"RP:	Le echan la culpa a él, sí, de todo y los culpables fueron ellos porque lo dejaron inconsciente, bien golpeado y todo",rp echan culpa culpables dejaron inconsciente bien golpeado,Violence / Violencia,-1,0.0
"RP:	No, en un ranchito ahí de Deming, no sé como se llamaría el ranchito pero ahí en Deming",rp ranchito ahí deming sé llamaría ranchito ahí deming,Violence / Violencia,-1,0.0
Todo el tiempo a mí me ha gustado traer cartera y todo el tiempo ahí tengo mi ahorro en…  LM:	Tenía su guardadito,tiempo gustado traer cartera tiempo ahí ahorro lm guardadito,Violence / Violencia,40,0.6602705374461689
"Que tenían un ranchito y casa y ahí llegamos con ellos un mes, un mes llegamos con ellos",ranchito casa ahí llegamos mes mes llegamos,Violence / Violencia,123,0.2598436385381024
"Yo si no sabía qué hacer, le hacía la luchita y así, pero quizá no",si sabía hacer hacía luchita así quizá,Violence / Violencia,23,0.8111250299958309
"Ya nomás pasabas ahí, había una, un guardaganado, un corral de ganado ahí",nomás pasabas ahí guardaganado corral ganado ahí,Violence / Violencia,91,0.10707732938515434
"They would go through, they were formed in about four or five lines, they were placed through a Quonset hut, and they were asked to strip, and they were sprayed with a white powder all over their body, including their hair, facial hair, the hair on their head, and even around the low area",would go formed four five lines placed quonset hut asked strip sprayed white powder body including hair facial hair hair head even around low area,Violence / Violencia,-1,0.0
"When they would come out of the Quonset hut, they would look at each other, and they were all white, and they’d say, “Well, I guess we’re gringos now",would come quonset hut would look white theyd say well guess gringos,Violence / Violencia,18,0.17629130110061475
"The Mexican consul would invariably get together with them, every single load, and ask them if they had any complaints, if they had been mistreated, if they had been abused, if they had been exploited, if they had been paid properly",mexican consul would invariably get together every single load ask complaints mistreated abused exploited paid properly,Violence / Violencia,201,0.3730145863562443
"There’s just no other way but to be very, very harsh with these people, and everything was permissible, other than hitting them, but jerking them out of lines and pushing them, all that was permissible",theres way harsh people everything permissible hitting jerking lines pushing permissible,Violence / Violencia,2,0.9117213918252345
"Y vendíamos lo que llegaba allí, había la, en la tienda pos digamos de nosotros y otra en el centro del ranchito y fue todo, ¿no",vendíamos llegaba allí tienda pos digamos centro ranchito,Violence / Violencia,27,1.0
"In the morning, he would hitch them up and drive back home Sunday",morning would hitch drive back home sunday,Violence / Violencia,5,0.9529895738806868
"The plaster walls on the adobe buildings were all white, and the trim was painted a royal dark blue",plaster walls adobe buildings white trim painted royal dark blue,Violence / Violencia,92,0.8516821776063136
"Each one received their utensils, but to continue with their common utensils, they would get one very large soupspoon, this was blue and white enameled metal wear, that’s what they got, it was new, it had this peculiar polka dot effect, the white coming through the blue, pretty good, there was nothing wrong with it, it was Army issue",one received utensils continue common utensils would get one large soupspoon blue white enameled metal wear thats got new peculiar polka dot effect white coming blue pretty good nothing wrong army issue,Violence / Violencia,3,1.0
"”  They had never seen white bread until they got here, but boy, did they learn to like it",never seen white bread got boy learn like,Violence / Violencia,-1,0.0
"It was white, enriched flour bread, worst thing you can eat, but there it was",white enriched flour bread worst thing eat,Violence / Violencia,-1,0.0
"The sureños, the guys who were from the south, who were always muy indiados, they were very dark, very Indian features, they always dressed in white, white shirt, white pants",sureños guys south always indiados dark indian features always dressed white white shirt white pants,Violence / Violencia,210,0.8949776414667506
"The other men called them guardapedos, because they wore narrow legs trousers",men called guardapedos wore narrow legs trousers,Violence / Violencia,22,1.0
"They would wash out their white clothes, because that’s what they wore in the southern part of Mexico, it was very humid, but the guys who were from the more urban areas, they dressed differently",would wash white clothes thats wore southern part mexico humid guys urban areas dressed differently,Violence / Violencia,-1,0.0
"I was just wondering, did you ever see any kind of abuse of the braceros",wondering ever see kind abuse braceros,Violence / Violencia,-1,0.0
"Oh, yeah, but I never saw anybody who was abused, I never heard of any",oh yeah never saw anybody abused never heard,Violence / Violencia,13,1.0
"Somebody on the farm got hurt, hit his eye, or stuck something through his hand",somebody farm got hurt hit eye stuck something hand,Violence / Violencia,0,0.7439816962490725
"DH:	Well, cross the canal where that white gate is, over there, you know",dh well cross canal white gate know,Violence / Violencia,-1,0.0
"Era un permiso, simplemente guardaban un récord de estas personas y ya, el ranchero se los llevaba y yo me imagino que después los traían",permiso simplemente guardaban récord personas ranchero llevaba imagino después traían,Violence / Violencia,0,1.0
"Venían muchos de… no, pos de todo el país de México y nomás esto los inditos estos, they would stand out because of the white clothing that they had, pero los demás eran un típico mexicanos, con su ropa de trabajo y su gorro, casi todos traiban un gorro",venían pos país méxico nomás inditos would stand white clothing demás típico mexicanos ropa trabajo gorro casi traiban gorro,Violence / Violencia,24,0.854611223417561
Tenía que caminar un trecho largo para ir a comprar azúcar o comprar alguna cosa en otro ranchito,caminar trecho largo ir comprar azúcar comprar alguna cosa ranchito,Violence / Violencia,165,0.0413921988624696
"LM:	Entonces el patrón, se llamaba este patrón, se llama igual que yo, Isidro, Isidro Fierro y ese fue mi patrón por los primeros dieciocho meses, porque el ranchito que sembraba él, eran únicamente cuarenta acres",lm entonces patrón llamaba patrón llama igual isidro isidro fierro patrón primeros dieciocho meses ranchito sembraba únicamente cuarenta acres,Violence / Violencia,166,0.889074571024964
"Pa echarlos pal otro lado y no le pagaban, les ah, era un abuso ese",pa echarlos pal lado pagaban ah abuso,Violence / Violencia,1,1.0
"Eh, era abuso más bien de los derechos humanos, eh",eh abuso bien derechos humanos eh,Violence / Violencia,9,0.12404669873563584
"MP:	Pues, eso sí fue un abuso oiga, obviamente…  JG:	Sí, eso fue un abuso y hubo algunos, ¿eh",mp pues abuso oiga obviamente jg abuso eh,Violence / Violencia,-1,0.0
"Ahí en los ejidos, un ranchito que está ahí cerquita y trabajaba de lechero",ahí ejidos ranchito ahí cerquita trabajaba lechero,Violence / Violencia,-1,0.0
"Entonces el agua de ahí era muy salada y no me caía a mí, entonces ya nos fuimos con otro patrón, ahí mismo en otro ranchito ahí, a trabajar ahí, pero ya en el riego",entonces agua ahí salada caía entonces patrón ahí mismo ranchito ahí trabajar ahí riego,Violence / Violencia,44,0.6496906179274612
"Ya el siguiente año vinimos, ahí en El Paso del Águila, en Eagle Pass, en El Paso del Águila, estaba el ranchito cerquita ahí onde trabajábamos, a donde fuimos",siguiente año vinimos ahí paso águila eagle pass paso águila ranchito cerquita ahí onde trabajábamos,Violence / Violencia,230,0.3397980838240084
"Pero no nos explicaban que la guardáramos que porque un día se iba a ofrecer, no, no, nos la daban",explicaban guardáramos día iba ofrecer daban,Violence / Violencia,5,0.8419926169068866
"JC:	Pos no, no me acuerdo era, un rancho, un ranchito nomás el patrón vivía ahí, sí",jc pos acuerdo rancho ranchito nomás patrón vivía ahí,Violence / Violencia,0,0.8601471061971191
"Desbarataron la cuadrilla, le quitaron los cuatro carros comedores, el carro de baño, el carro donde guardaban la provisión",desbarataron cuadrilla quitaron cuatro carros comedores carro baño carro guardaban provisión,Violence / Violencia,21,0.09009784609966687
"Y no, no lo hacía, los esperan, si nos venían platicando con ellos, o junto con ellos, lo podían a uno castigar porque ya estaba hablado",hacía esperan si venían platicando junto podían castigar hablado,Violence / Violencia,-1,0.0
"Desorientaban ahí a unos diez o quince, unos salían hasta golpeados, creo hasta muertos hubo",desorientaban ahí diez quince salían golpeados creo muertos,Violence / Violencia,274,0.7824849903067596
"Unos salían hasta golpeados ahí, y ya no podían entrar pues, ¿ya donde se metían",salían golpeados ahí podían entrar pues metían,Violence / Violencia,-1,0.0
"Otros hasta muertos hubo, golpeados, lastimados de las piernas, de los brazos, onde caían rodando allá, y los otros vivales, eran los que entraban, los que venían puchando allá, a los que estaban",muertos golpeados lastimados piernas brazos onde caían rodando allá vivales entraban venían puchando allá,Violence / Violencia,65,0.8718342989497905
"VM:	Lo metieron derechito en, como en la vía, lo que ellos querían, ¿verdad",vm metieron derechito vía querían verdad,Violence / Violencia,9,1.0
"Y luego ese día le avisaron al mayordomo general, que ahí estaba la provisión, porque traíamos un carro refrigerador pa, donde metían los cocineros ahí que hacían el lonche, ahí guardaban en el refrigerador la mercancía que llegaba, mayormente la que, la que se hace mala con el calor",luego día avisaron mayordomo general ahí provisión traíamos carro refrigerador pa metían cocineros ahí hacían lonche ahí guardaban refrigerador mercancía llegaba mayormente hace mala calor,Violence / Violencia,-1,0.0
"Se ponía uno así el paño mire, se ponía así en los paños, nos aguardábamos así el paño, aquí en la cara, así, nomás dejábamos los ojos para ver",ponía así paño mire ponía así paños aguardábamos así paño aquí cara así nomás dejábamos ojos ver,Violence / Violencia,-1,0.0
"Y no, luego luego llegaba éste, nomás le acababa de hablar y ya estaba ahí, y ahí nos lleva, derechito a la cocina ahí, ahí paraba el motor, y ya decía: “¿Quién",luego luego llegaba éste nomás acababa hablar ahí ahí lleva derechito cocina ahí ahí paraba motor decía quién,Violence / Violencia,-1,0.0
"Ya nos salimos ahí a un callejoncito afuera y nos pusimos en guardia, en guardia y lo anduve tanteando, no pues no sabía pelear, ¿sabe cómo me aventaba los golpes",salimos ahí callejoncito afuera pusimos guardia guardia anduve tanteando pues sabía pelear sabe cómo aventaba golpes,Violence / Violencia,-1,0.0
"Pero a veces se quebraba, se quebraba de la fuerza que hacías, se quebraba el palo, y pas, y como el freno del carro casi estaba derechito del riel, por donde va caminando una de las ruedas del tren, se quebraba el palo de la fuerza que hacías, se quebraba el palo, y pas, allá caía entre los dos huecos, o donde iban los dos carros pegados",veces quebraba quebraba fuerza hacías quebraba palo pas freno carro casi derechito riel va caminando ruedas tren quebraba palo fuerza hacías quebraba palo pas allá caía dos huecos iban dos carros pegados,Violence / Violencia,266,0.23601654558997187
"Porque a veces sí iban hasta de a dos, y se quebraba el palo, y pas, caías, pero casi derechito al riel y luego llegaban las ruedotas",veces iban dos quebraba palo pas caías casi derechito riel luego llegaban ruedotas,Violence / Violencia,34,0.5543699448970953
"Cuando fui, me dio mucho, me dio recomendaciones para la, pa la gente que, pa los guardias ahí, pa que pasara, porque había guardias ahí y nomás pasaba el que traía los papeles y yo pasé y no necesité papeles",dio dio recomendaciones pa gente pa guardias ahí pa pasara guardias ahí nomás pasaba traía papeles pasé necesité papeles,Violence / Violencia,-1,0.0
"Yo entré por la influencia de un político y luego el soldado que estaba allí, había estado en El Oro, el que estaba de guardia, había estado en Del Oro, me conoció y luego: “Pasa, pasa, pasa acá”",entré influencia político luego soldado allí oro guardia oro conoció luego pasa pasa pasa acá,Violence / Violencia,144,0.405210135811762
"Y luego ya, como ahí andaban los soldados, que guardaban a uno, que guardaran la distancia y todo, bueno, entonces ya me…  MP:	¿Soldados mexicanos",luego ahí andaban soldados guardaban guardaran distancia bueno entonces mp soldados mexicanos,Violence / Violencia,24,0.5433878038466663
